date,site_id,site_name,coast,shore,pred_grade,pred_score,pred_effective_surf_ft,pred_raw_surf_ft,pred_gated,obs_surf_ft,obs_advisory
2026-07-03,hauula_beach,Hauula Beach,windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,heeia_kea,Heeia Kea Pier,windward,East,D,53.3,4.59,6.56,False,,
2026-07-03,kaena_point,Kaena Point,west_side,West,B,83.4,1.11,2.95,False,,
2026-07-03,kahana_bay,Kahana Bay,windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,kailua_beach,Kailua Beach,windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,kaimana_beach,Kaimana Beach (Sans Souci),south_shore,South,F,0.0,3.41,2.62,True,,
2026-07-03,kaneohe_bay,Kaneohe Bay (General),windward,East,D,53.8,4.59,6.56,False,,
2026-07-03,ko_olina,Ko Olina Lagoons,west_side,West,C,67.1,3.55,2.95,False,,
2026-07-03,laie_point,Laie Point,windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,laniakea,Laniakea (Turtle Beach),north_shore,North,B,79.4,2.57,4.59,False,,
2026-07-03,lanikai_beach,Lanikai Beach,windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,maili_beach,Maili Beach (Maili Cove),west_side,West,B,80.1,2.84,2.95,False,,
2026-07-03,makaha_beach,Makaha Beach,west_side,West,A,86.0,1.11,2.95,False,,
2026-07-03,makai_pier,Makai Research Pier,southeast,East,F,0.0,4.59,6.56,True,,
2026-07-03,makapuu_beach,Makapuu Beach,southeast,East,F,0.0,4.59,6.56,True,,
2026-07-03,makapuu_tidepools,Makapuu Tidepools,southeast,East,F,0.0,4.59,6.56,True,,
2026-07-03,makua_beach,Makua Beach,west_side,West,A,85.4,1.11,2.95,False,,
2026-07-03,mokulua_islands,Mokulua Islands (Mokes),windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,nanakuli_beach,Nanakuli Beach,west_side,West,B,79.3,2.84,2.95,False,,
2026-07-03,pokai_bay,Pokai Bay,west_side,West,B,80.7,2.84,2.95,False,,
2026-07-03,police_beach,Police Beach (Mokuleia),north_shore,North,A,85.4,0.59,4.59,False,,
2026-07-03,punaluu_beach,Punaluu Beach,windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,sharks_cove,Shark's Cove / Pupukea,north_shore,North,B,82.6,2.57,4.59,False,,
2026-07-03,sunset_beach,Sunset Beach,north_shore,North,F,0.0,2.57,4.59,True,,
2026-07-03,three_tables,Three Tables,north_shore,North,F,0.0,2.57,4.59,True,,
2026-07-03,turtle_canyons,Turtle Canyons,south_shore,South,D,45.7,3.41,2.62,False,,
2026-07-03,ulehawa_beach,Ulehawa Beach,west_side,West,B,79.6,2.84,2.95,False,,
2026-07-03,waikiki_reef,Waikiki Reef,south_shore,South,D,46.0,3.41,2.62,False,,
2026-07-03,waimanalo_beach,Waimanalo Beach,windward,East,F,0.0,4.59,6.56,True,,
2026-07-03,waimea_bay,Waimea Bay,north_shore,North,F,0.0,2.57,4.59,True,,
2026-07-03,yokohama_bay,Yokohama Bay (Keawaula),west_side,West,B,84.4,1.11,2.95,False,,
